Number		Type    Purchase	Capacity	Charge			R/A
AAA001		Std     2011-07		0749		2019-07-28		2019-01-31
AAA002		Std     2011-07		0691		2019-05-23		2012-11-17
AAA003		Std     2011-04		0756		2018-11-13		2018-11-13
AAA004		Std     2011-04		0753		2013-02-05		2012-12-23
AAA005		Std     2011-04		0723		2013-02-05		2012-12-23
AAA006		Std     2011-07		0722		2018-04-23		2012-12-24
AAA007		Std     2011-07		0831		2019-01-31		2012-12-24
AAA008		Std     2011-07		0719		2018-04-23		2012-12-24
AAA009		Std     2011-07		0771		2018-11-12		2018-11-12
AAA010		Std     2011-07		0793		2018-11-11		2018-11-11
AAA011		Std     2011-04		0756		2018-11-13		2018-11-13
AAA012		Std     2011-07		0793		2018-11-11		2018-11-11
AAA013		Std     2012-11		0738		2018-11-12		2018-11-12
AAA014		Std     2012-11		0693		2013-02-19		2012-12-01
AAA015		Std     2012-11		0752		2018-11-12		2018-11-12
AAA016		Std     2012-11		0750		2018-11-12		2018-11-12
AAA017		Std     2012-11		0805		2019-01-31		2018-12-14
AAA018		Std     2012-11		0708		2020-06-25		2019-01-31
AAA019		Std     2012-11		0770		2019-07-28		2018-12-14
AAA020		Std     2012-11		0728		2013-01-21		2012-12-02
AAA021		Pro     2015-10		0769		2015-10-20		2015-10-20
AAA022		Pro     2015-10		0855		2018-04-23		2015-10-20
AAA023		Pro     2015-10		0813		2015-10-20		2015-10-20
AAA024		Pro     2015-10		0862		2019-01-12		2015-10-20
AAA025		Std		2018-11		0741		2018-11-14		2018-11-14
AAA026		Std		2018-11		0659		2019-03-28		2018-11-14
AAA027		Std		2018-11		0734		2018-11-14		2018-11-14
AAA028		Std		2018-11		0801		2019-01-22		2018-11-14
